"","Strain","Replicate","Phylum","Family","Genus","Run","TI_norm_MBOA","TI_norm_AMPO","TI_norm_APO","TI_norm_BOA","TI_norm_DMG"
"141","LMK1","3","Proteobacteria","Erwiniaceae","Pantoea","R1",0.534220857630929,0.988431961740947,0.976978997663805,0.701906394274606,NA
"142","LMK1","3","Proteobacteria","Erwiniaceae","Pantoea","R2",0.5587154574767,0.964388165355294,1.00641580768303,0.718076993370772,0.98176806275529
"143","LML1","1","Actinobacteria","Nocardioidaceae","Nocardioides","R1",0.419545568498303,0.413439307262434,0.472329487836274,0.128703522545761,NA
"144","LML1","1","Actinobacteria","Nocardioidaceae","Nocardioides","R2",0.37210660784798,0.369175607313591,0.687515765407561,0.13229313420006,0.962155597796256
"145","LML1","2","Actinobacteria","Nocardioidaceae","Nocardioides","R1",0.399053804576298,0.409127665370641,0.333109552169484,0.129227360640089,NA
"146","LML1","2","Actinobacteria","Nocardioidaceae","Nocardioides","R2",0.358263289453765,0.516220798879187,1.30992896158051,0.15883170218714,0.993669113544792
"147","LML1","3","Actinobacteria","Nocardioidaceae","Nocardioides","R1",0.369599914844798,0.451372658859446,0.455493596835284,0.118103392991374,NA
"148","LML1","3","Actinobacteria","Nocardioidaceae","Nocardioides","R2",0.338913677400655,0.531917184943957,0.694137444249412,0.133405710619303,1.00749379448994
"149","LMN1","1","Bacteroidetes","Chitinophagaceae","Chitinophaga","R1",0.405230043219562,0.967697586750337,0.541629053927533,0.649791918241105,NA
"150","LMN1","1","Bacteroidetes","Chitinophagaceae","Chitinophaga","R2",0.362790389436726,0.614132923521924,795.867101641081,0.628003203530493,1.00476782662773
"151","LMN1","2","Bacteroidetes","Chitinophagaceae","Chitinophaga","R1",0.435661910038548,0.792319178646439,0.570042067684598,0.597613904411828,NA
"152","LMN1","2","Bacteroidetes","Chitinophagaceae","Chitinophaga","R2",0.34233132076204,0.87684426728023,641.746855143459,0.47472391916341,0.988987283169416
"153","LMN1","3","Bacteroidetes","Chitinophagaceae","Chitinophaga","R1",0.420441073280555,0.744054935380019,0.601904947562318,0.810600041554442,NA
"154","LMN1","3","Bacteroidetes","Chitinophagaceae","Chitinophaga","R2",0.291008044720061,0.713493470859164,326.813150068048,0.525410139371358,0.992311548825885
"155","LMO1","1","Firmicutes","Bacillaceae","Bacillus","R1",0.873443683557524,0.780136464397301,0.617816635097413,0.825385077429397,NA
"156","LMO1","1","Firmicutes","Bacillaceae","Bacillus","R2",0.851716764988313,0.806289231082083,2.02158604690414,0.869657689369103,0.988685231479586
"157","LMO1","2","Firmicutes","Bacillaceae","Bacillus","R1",0.823720493264992,0.791528939657328,0.624712749237611,0.879711073792477,NA
"158","LMO1","2","Firmicutes","Bacillaceae","Bacillus","R2",0.667765388374366,0.578753673297832,1.65100455344897,0.864537971114246,0.999659953668672
"159","LMO1","3","Firmicutes","Bacillaceae","Bacillus","R1",0.82680635799443,0.829718958021249,0.595990730822456,0.855148807623535,NA
"160","LMO1","3","Firmicutes","Bacillaceae","Bacillus","R2",0.499816322001274,0.942697535520181,1.33850233379017,0.839494274082779,0.982170399540586
"161","LMS1","1","Proteobacteria","Oxalobacteraceae","Massilia","R1",0.262720760686137,1.0196191900117,1.50339014943262,0.522456741622473,NA
"162","LMS1","1","Proteobacteria","Oxalobacteraceae","Massilia","R2",0.213527561207049,0.850735370855984,0.810177084577941,0.645436779569168,0.786016662741965
"163","LMS1","2","Proteobacteria","Oxalobacteraceae","Massilia","R1",0.269593922091732,1.05945662681363,0.880330925994044,0.440263821362628,NA
"164","LMS1","2","Proteobacteria","Oxalobacteraceae","Massilia","R2",0.273034431358776,0.965888091430694,5.0951333781985,0.452537581960667,0.750273615804642
"165","LMS1","3","Proteobacteria","Oxalobacteraceae","Massilia","R1",0.270283500835872,0.984536390714257,0.561400080023873,0.573897752506436,NA
"166","LMS1","3","Proteobacteria","Oxalobacteraceae","Massilia","R2",0.228580119445563,0.957391033076905,0.923187660165795,0.720650320981207,0.917623500204651
"167","LMX11","1","Proteobacteria","Pseudomonadaceae","Pseudomonas","R1",0.418118467952839,0.982722414325926,0.981195924270043,0.336918625822501,NA
"168","LMX11","1","Proteobacteria","Pseudomonadaceae","Pseudomonas","R2",0.407139611041712,1.0263514374598,488.316243407544,0.282795823450279,1.31268617040472
"169","LMX11","2","Proteobacteria","Pseudomonadaceae","Pseudomonas","R1",0.506378300511343,0.968603881494468,0.939780248007293,0.365065164870019,NA
"170","LMX11","2","Proteobacteria","Pseudomonadaceae","Pseudomonas","R2",0.434424318711593,1.01808313322723,648.701272574658,0.260097949873324,1.25155904898543
"171","LMX11","3","Proteobacteria","Pseudomonadaceae","Pseudomonas","R1",0.516386745826945,1.0130750164458,0.9361517055979,0.310517510672569,NA
"172","LMX11","3","Proteobacteria","Pseudomonadaceae","Pseudomonas","R2",0.547083884136598,0.94128629263502,382.857785056172,0.259150877571695,1.18539018578338
"173","LMX3","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.579673887241064,0.943604212341808,0.887075914627784,0.814519683497594,NA
"174","LMX3","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.690205971858687,0.623960149752326,0.985099773658855,0.866557153120745,1.06803281671287
"175","LMX3","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.705379666739508,0.934058586259545,0.947875278467254,0.756615798608476,NA
"176","LMX3","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.648355386581427,0.610230203844272,1.02653084990359,0.752692250860383,0.971368753606576
"177","LMX3","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.594324789228009,0.729599849730346,0.837021605494457,0.659644667522352,NA
"178","LMX3","3","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.561872384274916,0.737714852857456,0.987732014940642,0.671928878029998,1.08611245132466
"179","LMX7","2","Actinobacteriota","Microbacteriaceae","Micrococcineae","R1",0.596052782716849,0.895098332013434,0.977718947183734,0.748340881278196,NA
"180","LMX7","2","Actinobacteriota","Microbacteriaceae","Micrococcineae","R2",0.578252356720261,0.777510247690794,0.971851470954947,0.788754838681119,1.18222162290841
"181","LMX7","3","Actinobacteriota","Microbacteriaceae","Micrococcineae","R1",0.678621299128318,0.834395522180332,1.08196738729609,0.751608033848977,NA
"182","LMX7","3","Actinobacteriota","Microbacteriaceae","Micrococcineae","R2",0.644536696230331,0.787063598689523,0.842284337599791,0.642637683193333,1.14149277008572
